"price","type","year","transmission","model","odometer","fuel","manufacturer","condition","state","lat","long","country"
1150,"wagon",2000,"manual","clio",93205.65,"petrol","renault","good","Nordrhein-Westfalen",51.4271,7.1543,"DE"
6990,"sedan",2012,"manual","fabia",62137.1,"diesel","skoda","good","Nordrhein-Westfalen",51.4925,7.3106,"DE"
1690,"wagon",2001,"manual","lupo",93205.65,"diesel","volkswagen","good","Nordrhein-Westfalen",51.4408,6.9863,"DE"
15500,"suv",2008,"automatic","touareg",93205.65,"diesel","volkswagen","good","Nordrhein-Westfalen",51.4698,6.9517,"DE"
56900,"limousine",2015,"automatic","a6",3106.855,"diesel","audi","good","Nordrhein-Westfalen",51.3954,7.1779,"DE"
350,"wagon",1997,"manual",NA,93205.65,NA,"fiat","bad","Nordrhein-Westfalen",51.6017,7.2183,"DE"
6350,"bus",2009,"automatic","s_max",93205.65,"diesel","ford","good","Nordrhein-Westfalen",51.5964,7.1439,"DE"
3390,NA,2000,NA,"3er",93205.65,NA,"bmw",NA,"Nordrhein-Westfalen",51.642,7.2645,"DE"
1450,NA,2017,NA,"a_klasse",93205.65,"petrol","mercedes_benz",NA,"Nordrhein-Westfalen",51.4967,7.1136,"DE"
2999,"sedan",2001,"manual","3er",93205.65,"petrol","bmw",NA,"Nordrhein-Westfalen",51.5592,7.0841,"DE"
4450,"wagon",2007,"manual","rio",43495.97,"petrol","kia","good","Nordrhein-Westfalen",51.5748,7.1165,"DE"
400,"limousine",2000,"manual","omega",93205.65,NA,"opel","bad","Nordrhein-Westfalen",51.5566,7.0025,"DE"
