region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,county,state,lat,long
"quad cities, IA/IL",11000,2009.0,ford,f-150,,,gas,,clean,automatic,,,,,,,il,40.9521,-90.3698
south jersey,1500,2001.0,honda,accord,good,,gas,158000.0,clean,automatic,,,,sedan,,,nj,39.5591,-75.4521
"quad cities, IA/IL",16900,2015.0,gmc,savana cutaway,,,gas,161993.0,clean,other,,rwd,,other,white,,il,,
"quad cities, IA/IL",14500,2017.0,nissan,nv200 compact cargo,excellent,6 cylinders,gas,5000.0,rebuilt,automatic,,fwd,compact,van,white,,il,42.2582,-90.4356
"quad cities, IA/IL",17900,2013.0,,Isuzu NPR,,,diesel,143759.0,clean,automatic,,,,other,white,,il,,
"quad cities, IA/IL",4250,2007.0,honda,element sc,,4 cylinders,gas,162852.0,rebuilt,manual,,fwd,,,silver,,il,41.5164,-90.6141
richmond,0,2017.0,hyundai,elantra,,,gas,77292.0,clean,automatic,5NPD74LF0HH208804,,,other,silver,,va,38.2571,-77.4957
south jersey,7500,2004.0,jeep,wrangler,good,6 cylinders,gas,114000.0,clean,automatic,,4wd,,SUV,red,,nj,39.3741,-74.6118
"quad cities, IA/IL",2500,2002.0,chevrolet,monte carlo,,6 cylinders,gas,153028.0,clean,automatic,2G1WX15K129130277,fwd,,other,black,,il,42.4778,-92.3661
south jersey,11995,2010.0,audi,a8 l,,8 cylinders,gas,103025.0,clean,automatic,WAURVAFA8AN008573,,,sedan,black,,nj,39.9804,-74.8209
"quad cities, IA/IL",3950,2009.0,chrysler,200,excellent,4 cylinders,gas,139814.0,clean,automatic,,fwd,mid-size,sedan,red,,il,41.4688,-90.1711
"quad cities, IA/IL",25900,2012.0,ford,f350 xlt,good,8 cylinders,gas,59950.0,lien,automatic,,4wd,,truck,white,,il,40.9601,-90.3707
"quad cities, IA/IL",26250,2018.0,mazda,cx-5 grand touring awd,like new,4 cylinders,gas,17200.0,clean,automatic,,,,SUV,blue,,il,41.5509,-90.4942
